央视频道,#genre#
福州4套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=584&n=fz4hd_2000
马尾电视台,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=710&n=fzmw_1200
闽侯电视台,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=709&n=fzmh_1200
闽清电视台,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=714&n=fzmq_1200
厦门1套高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=570&n=xm1hd_2000
厦门2套高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=570&n=xm2hd_2000
厦门3套高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=570&n=xm3hd_2000
泉州1套高清,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=20&n=qz1_1200
泉州3套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=520&n=qz3hd_2000
泉州4套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=514&n=qz4hd_2000
泉州安溪,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=514&n=qzax_2000
泉州永春,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=514&n=qzyc_2000
莆田1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=18&n=pt1_1200
莆田2套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=80&n=pt2hd_2000
漳州1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=26&n=zz1_1200
漳州2套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=526&n=zz2hd_2000
龙岩1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=14&n=ly1_1200
龙岩连城,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=14&n=lylchd_2000
龙岩上杭,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=14&n=lyshhd_2000
龙岩长汀,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=14&n=lycthd_2000
三明1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=22&n=sm1_1200
南平1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=16&n=np1_1200
宁德1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=12&n=nd1_1200
宁德2套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=516&n=nd2hd_2000
平潭1套,http://nn.7x9d.cn/xz/xz_adf3b2d70c/fjgd.php?cid=10&n=pt1_1200
